caso_id,tomo,tipo_cambio,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_variante,new_firma
330_p1478,330,mejora_gano_firma,otro,hace_lugar,sin_firma,mixed,0,7,"En consecuencia, calificó el hecho por el cual fuera condena","Por ello, oído el señor Procurador Fiscal, se hace lugar a l",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S
330_p1927,330,mejora_gano_firma,otro,otro,sin_firma,unanime,0,6,"En su mérito, la legislatura de la Provincia de San Juan adh","Por ello, oído el señor Procurador Fiscal, se resuelve: Rech",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE
330_p1950,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,5,de conformidad con lo dispuesto en el segundo párrafo del ar,"Por ello, Se Resuelve: Avocar las actuaciones, dejar sin efe",por_ello,RICARDO LUIS LORENZETTI — CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CAR
330_p2049,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,6,Por todo ello pide que se declare la improcedencia de la pre,"Por ello, y de conformidad con lo dictaminado por el señor P",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en disid
330_p2416,330,cambio_outcome,otro,revoca,sin_firma,sin_firma,0,0,"En consecuencia, la inclusión o exclusión de Y.P.F. del régi","Por ello, y de conformidad con lo dictaminado por el señor P",por_ello,
330_p2434,330,REGRESION_menos_jueces,otro,procedente,mixed,unanime,6,1,"Por ello, se declara improcedente el recurso extraordinario ","Por ello, oído el señor Procurador Fiscal, se declara proced",por_ello,E. RAÚL ZAFFARONI.
330_p2478,330,cambio_outcome,otro,originaria,segun_su_voto,segun_su_voto,7,7,"En consecuencia, la Provincia de San Juan resulta ser respon","Por ello, oído el señor Procurador Fiscal, se resuelve: I.– ",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según su
330_p2685,330,REGRESION_menos_jueces,hace_lugar,hace_lugar,mixed,unanime,6,1,"Por ello, y lo concordemente dictaminado por el señor Procur","Por ello, y oído el señor Procurador Fiscal, se hace lugar a",por_ello,ELENA I. HIGHTON DE NOLASCO. Considerando: 1º) Que el trabajador reclamó a la de
330_p2748,330,mejora_gano_firma,otro,otro,sin_firma,disidencia,0,7,"Por ello expresa que, a partir de ese momento, se encontró i","Por ello, y lo dispuesto por el art. 1112 y concordantes del",por_ello,RICARDO LUIS LORENZETTI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO — 
330_p3015,330,REGRESION_menos_jueces,procedente,revoca,disidencia,unanime,6,1,"Por ello, de conformidad con lo dictaminado por el señor Pro","Por ello, oído el señor Procurador Fiscal subrogante, se dec",por_ello,CARMEN M. ARGIBAY. Recurso extraordinario interpuesto por Administración Federal
330_p3160,330,mejora_gano_firma,otro,abstracto,sin_firma,mixed,0,7,"Por lo expuesto, surge un campo de tensión en la satisfacció","Por ello, oído el señor Procurador General de la Nación y co",por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLOS S
330_p3248,330,mejora_gano_firma,otro,procedente,sin_firma,disidencia,0,6,Por ello tratándose el sub lite de la investigación de esa c,Por ello se declara procedente el recurso extraordinario y s,por_ello,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (en disid
330_p3409,330,REGRESION_menos_jueces,desestima,desestima,mixed,unanime,10,3,"Por ello, y lo concordemente dictaminado por la señora Procu","Por ello, se desestima la queja. Declárase perdido el depósi",por_ello,CARLOS S. FAYT — ENRIQUE SANTIAGO PETRACCHI — JUAN CARLOS MAQUEDA.
