caso,tomo,firma_nueva,lfr_viejo,lfr_nuevo,pista_nueva,tipo
339_p597,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,22340,22367,caratula_siguiente,MEJORA
339_p754,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,28338,28370,caratula_siguiente,MEJORA
339_p781,339,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,29828,29881,caratula_siguiente,MEJORA
339_p1223,339,Ricardo Luis Lorenzetti – Elena I. Highton de Nolasco – Juan Carlos Maqueda – Ho,11474,11694,caratula_siguiente,MEJORA
339_p1622,339,Ricardo Luis Lorenzetti – Elena I. Highton de Nolasco – Juan Carlos Maqueda.,25561,25748,caratula_siguiente,MEJORA
339_p1793,339,Ricardo Luis Lorenzetti – Elena I. Highton de Nolasco – Juan Carlos Maqueda – Ho,31889,31968,caratula_siguiente,MEJORA
339_p1820,339,Ricardo Luis Lorenzetti – Elena I. Highton de Nolasco – Juan Carlos Maqueda (en ,33071,33259,caratula_siguiente,MEJORA
340_p204,340,Horacio Rosatti.,7553,7553,marcador_apertura_siguiente,MEJORA
340_p415,340,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ho,15645,15704,caratula_siguiente,MEJORA
340_p626,340,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda.,23652,23678,caratula_siguiente,MEJORA
340_p739,340,Elena I. Highton de Nolasco — Juan Carlos Maqueda — Carlos Fernando Rosenkrantz.,27955,27987,caratula_siguiente,MEJORA
340_p802,340,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ho,30260,30362,caratula_siguiente,MEJORA
340_p1094,340,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ho,4514,4586,caratula_siguiente,MEJORA
340_p1129,340,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ho,6074,6161,caratula_siguiente,MEJORA
340_p1480,340,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ho,20202,20473,caratula_siguiente,MEJORA
340_p1557,340,Ricardo Luis Lorenzetti — Juan Carlos Maqueda — Horacio Rosatti — Carlos Fernand,22603,22806,caratula_siguiente,MEJORA
340_p1680,340,Elena I. Highton de Nolasco — Juan Carlos Maqueda — Horacio Rosatti — Carlos Fer,27205,27260,caratula_siguiente,MEJORA
340_p1940,340,Juan Carlos Maqueda.,37965,38215,caratula_siguiente,MEJORA
341_p424,341,Horacio Rosatti.,16201,16201,firma_actual,MEJORA
341_p1246,341,Ricardo Luis Lorenzetti — Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ho,14856,14996,caratula_siguiente,MEJORA
341_p1408,341,Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ricardo Luis Lorenzetti.,21173,21219,caratula_siguiente,MEJORA
342_p148,342,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco (según su voto)— Juan ,5949,6379,caratula_siguiente,MEJORA
342_p867,342,Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ricardo Luis Lorenzetti — Ho,34120,34399,caratula_siguiente,MEJORA
342_p1249,342,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco — Juan Carlos Maqueda ,48880,49005,caratula_siguiente,MEJORA
342_p1302,342,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco — Ricardo Luis Lorenze,301,448,caratula_siguiente,MEJORA
342_p2125,342,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco — Juan Carlos Maqueda ,32199,32504,caratula_siguiente,MEJORA
343_p300,343,Carlos Fernando Rosenkrantz.,11612,11612,caratula_siguiente,MEJORA
343_p365,343,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco — Juan Carlos Maqueda ,14023,14194,caratula_siguiente,MEJORA
343_p1024,343,Carlos Fernando Rosenkrantz.,13495,13495,caratula_siguiente,MEJORA
343_p1181,343,Carlos Fernando Rosenkrantz — Elena I. Highton de Nolasco — Juan Carlos Maqueda ,20226,20525,caratula_siguiente,MEJORA
343_p1247,343,Elena I. Highton de Nolasco — Juan Carlos Maqueda — Ricardo Luis Lorenzetti — Ho,22018,22057,caratula_siguiente,MEJORA
