caso_id_canonico,tomo,archivo,linea_inicio,linea_fin_catalogo,linea_fin_real,delta_lineas,status_fin,pista
329_p1301,329,LibroVol329.1.md,49511,49582,49583,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1303,329,LibroVol329.1.md,49583,49657,49639,-18,fin_dentro_bloque,caratula_siguiente
329_p1305,329,LibroVol329.1.md,49658,49694,49720,26,fin_extendido_pag_compartida,caratula_siguiente
329_p1306,329,LibroVol329.1.md,49695,49727,49721,-6,fin_dentro_bloque,sumario_siguiente
329_p1307,329,LibroVol329.1.md,49728,49795,49791,-4,fin_dentro_bloque,sumario_siguiente
329_p1309,329,LibroVol329.1.md,49796,49826,49875,49,fin_extendido_pag_compartida,caratula_siguiente
329_p1310,329,LibroVol329.1.md,49827,49860,49886,26,fin_extendido_pag_compartida,caratula_siguiente
329_p1311,329,LibroVol329.1.md,49861,50094,50028,-66,fin_dentro_bloque,caratula_siguiente
329_p1317,329,LibroVol329.1.md,50095,50370,50401,31,fin_extendido_pag_compartida,caratula_siguiente
329_p1324,329,LibroVol329.1.md,50371,50520,50381,-139,fin_dentro_bloque,caratula_siguiente
329_p1328,329,LibroVol329.1.md,50521,50594,50602,8,fin_extendido_pag_compartida,caratula_siguiente
329_p1330,329,LibroVol329.1.md,50595,50657,50664,7,fin_extendido_pag_compartida,sumario_siguiente
329_p1332,329,LibroVol329.1.md,50658,50806,50824,18,fin_extendido_pag_compartida,caratula_siguiente
329_p1336,329,LibroVol329.1.md,50807,50876,50897,21,fin_extendido_pag_compartida,caratula_siguiente
329_p1338,329,LibroVol329.1.md,50877,50976,50969,-7,fin_dentro_bloque,caratula_siguiente
329_p1341,329,LibroVol329.1.md,50977,51047,51064,17,fin_extendido_pag_compartida,sumario_siguiente
329_p1343,329,LibroVol329.1.md,51048,51231,51227,-4,fin_dentro_bloque,sumario_siguiente
329_p1348,329,LibroVol329.1.md,51232,51302,51316,14,fin_extendido_pag_compartida,caratula_siguiente
329_p1350,329,LibroVol329.1.md,51303,62629,56117,-6512,fin_dentro_bloque,caratula_siguiente
329_p1375,329,LibroVol329.2.md,45,109,116,7,fin_extendido_pag_compartida,caratula_siguiente
329_p1377,329,LibroVol329.2.md,110,224,235,11,fin_extendido_pag_compartida,sumario_siguiente
329_p1380,329,LibroVol329.2.md,225,332,333,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1383,329,LibroVol329.2.md,333,409,422,13,fin_extendido_pag_compartida,caratula_siguiente
329_p1385,329,LibroVol329.2.md,410,551,552,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1389,329,LibroVol329.2.md,552,626,634,8,fin_extendido_pag_compartida,caratula_siguiente
329_p1391,329,LibroVol329.2.md,627,864,881,17,fin_extendido_pag_compartida,caratula_siguiente
329_p1397,329,LibroVol329.2.md,865,936,947,11,fin_extendido_pag_compartida,caratula_siguiente
329_p1399,329,LibroVol329.2.md,937,1664,1665,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1417,329,LibroVol329.2.md,1665,1965,1966,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1425,329,LibroVol329.2.md,1966,2309,2313,4,fin_extendido_pag_compartida,caratula_siguiente
329_p1434,329,LibroVol329.2.md,2310,2382,2384,2,fin_extendido_pag_compartida,caratula_siguiente
329_p1436,329,LibroVol329.2.md,2383,2521,2531,10,fin_extendido_pag_compartida,caratula_siguiente
329_p1440,329,LibroVol329.2.md,2522,2785,2786,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1447,329,LibroVol329.2.md,2786,3838,3812,-26,fin_dentro_bloque,caratula_siguiente
329_p1473,329,LibroVol329.2.md,3839,4113,4116,3,fin_extendido_pag_compartida,caratula_siguiente
329_p1480,329,LibroVol329.2.md,4114,4348,4349,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1487,329,LibroVol329.2.md,4349,4379,4375,-4,fin_dentro_bloque,sumario_siguiente
329_p1488,329,LibroVol329.2.md,4380,4446,4468,22,fin_extendido_pag_compartida,caratula_siguiente
329_p1490,329,LibroVol329.2.md,4447,4549,4576,27,fin_extendido_pag_compartida,caratula_siguiente
329_p1493,329,LibroVol329.2.md,4550,4859,4860,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1501,329,LibroVol329.2.md,4860,5039,5058,19,fin_extendido_pag_compartida,sumario_siguiente
329_p1506,329,LibroVol329.2.md,5040,5354,5367,13,fin_extendido_pag_compartida,sumario_siguiente
329_p1514,329,LibroVol329.2.md,5355,5620,5629,9,fin_extendido_pag_compartida,caratula_siguiente
329_p1521,329,LibroVol329.2.md,5621,5651,5660,9,fin_extendido_pag_compartida,caratula_siguiente
329_p1522,329,LibroVol329.2.md,5652,6302,6305,3,fin_extendido_pag_compartida,sumario_siguiente
329_p1538,329,LibroVol329.2.md,6303,6332,6345,13,fin_extendido_pag_compartida,caratula_siguiente
329_p1539,329,LibroVol329.2.md,6333,6396,6397,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1541,329,LibroVol329.2.md,6397,6892,6408,-484,fin_dentro_bloque,caratula_siguiente
329_p1554,329,LibroVol329.2.md,6893,7433,7396,-37,fin_dentro_bloque,caratula_siguiente
329_p1568,329,LibroVol329.2.md,7434,8140,8105,-35,fin_dentro_bloque,caratula_siguiente
329_p1586,329,LibroVol329.2.md,8141,8803,8797,-6,fin_dentro_bloque,caratula_siguiente
329_p1603,329,LibroVol329.2.md,8804,9039,9048,9,fin_extendido_pag_compartida,sumario_siguiente
329_p1609,329,LibroVol329.2.md,9040,9109,9125,16,fin_extendido_pag_compartida,caratula_siguiente
329_p1611,329,LibroVol329.2.md,9110,9421,9423,2,fin_extendido_pag_compartida,sumario_siguiente
329_p1619,329,LibroVol329.2.md,9422,9527,9540,13,fin_extendido_pag_compartida,caratula_siguiente
329_p1622,329,LibroVol329.2.md,9528,9665,9666,1,fin_extendido_pag_compartida,caratula_siguiente
329_p1626,329,LibroVol329.2.md,9666,9737,9774,37,fin_extendido_pag_compartida,caratula_siguiente
329_p1628,329,LibroVol329.2.md,9738,9848,9875,27,fin_extendido_pag_compartida,sumario_siguiente
329_p1631,329,LibroVol329.2.md,9849,10115,10126,11,fin_extendido_pag_compartida,caratula_siguiente
329_p1638,329,LibroVol329.2.md,10116,10787,10801,14,fin_extendido_pag_compartida,caratula_siguiente
329_p1655,329,LibroVol329.2.md,10788,11013,11028,15,fin_extendido_pag_compartida,sumario_siguiente
