caso_id_canonico,marco,origen_b,doble_cod,materia_capa,materia_fuente,parser_materia
345_p1238,A,,0,capa1,regla:\bdel trabajo\b,laboral
345_p1266,B,materia=cambiario,0,capa2,parte(1),cambiario
345_p1421,A,,1,capa2,kw(1),penal
345_p154,A,,0,pendiente_capa2,sin_ancla,
345_p241,A,,1,capa1,regla:\bdel trabajo\b,laboral
345_p37,B,materia=ambiental,1,capa2,norma:24051+norma:25675(2),ambiental
345_p50,B,materia=electoral,0,capa1,regla:electoral,electoral
345_p523,A,,0,capa1,regla:\ben lo comercial\b,civil_comercial
345_p583,A,,0,capa1,regla:contencioso administrativo,contencioso_administrativo
345_p670,A,,0,pendiente_capa2,sin_ancla,
345_p683,B,materia=salud,0,capa2,coocur:salud_amparo,salud
345_p938,B,materia=salud,1,capa2,coocur:salud_amparo,salud
346_p1234,B,materia=salud,0,capa2,coocur:salud_amparo,salud
346_p1241,A,,0,capa2,provincia:ca,contencioso_administrativo
346_p1339,A,,0,capa1,regla:casacion penal,penal
346_p1377,B,materia=cambiario,1,capa2,parte(1),cambiario
346_p1426,B,materia=constitucional,0,capa2,objeto(1),constitucional
346_p439,A,,1,capa2,kw+norma:24557+parte(3),laboral
346_p44,A,,0,capa2,coocur:tributario_disfrazado(desempate),tributario
346_p646,A,,0,capa1,regla:\bdel trabajo\b,laboral
346_p658,A,,0,capa2,objeto(1),penal
346_p675,A,,0,capa2,norma:25871(1),contencioso_administrativo
346_p730,B,materia=salud,0,capa2,coocur:salud_amparo,salud
346_p821,B,materia=ambiental,1,capa2,kw+norma:25675(2),ambiental
346_p866,B,materia=salud,0,capa2,coocur:salud_amparo,salud
347_p1022,B,materia=salud,0,capa2,coocur:salud_amparo,salud
347_p1031,A,,0,capa1,regla:\ben lo civil\b,civil_comercial
347_p1046,A,,0,pendiente_capa2,sin_ancla,
347_p1134,B,materia=salud,0,capa2,coocur:salud_amparo,salud
347_p1137,A,,0,capa1,regla:casacion penal,penal
347_p1191,A,,0,capa1,regla:seguridad social,previsional
