caso_id,tipo,vp_base,vp_new,lfr_base,lfr_new,n_jueces_new,firma_new
346_p150,lfr_cambio,unanime,unanime,6386,6378,2,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos
346_p1501,lfr_cambio,unanime,unanime,28772,28766,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p1514,cambio_vp,mixed,unanime,28981,28767,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p1520,cambio_vp,,,29036,29036,0,
346_p1526,lfr_cambio,mixed,mixed,29677,29527,4,Horacio Rosatti (según su voto)— Carlos Fernando Rosenkrantz (en disidencia)— Ju
346_p1545,cambio_vp,,,30056,30063,0,
346_p1551,cambio_vp,,,30143,30143,0,
346_p164,cambio_vp,,,6403,6403,0,
346_p165,lfr_cambio,unanime,unanime,6691,6685,3,Horacio Rosatti – Juan Carlos Maqueda – Ricardo Luis Lorenzetti.
346_p172,cambio_vp,,,6715,6715,0,
346_p173,lfr_cambio,unanime,unanime,6797,6791,2,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos
346_p176,cambio_vp,,,6846,6846,0,
346_p182,lfr_cambio,segun_su_voto,segun_su_voto,7428,7369,4,Horacio Rosatti (según su voto)- Carlos Fernando Rosenkrantz – Juan Carlos Maque
346_p192,cambio_vp,,,7451,7451,0,
346_p193,lfr_cambio,unanime,unanime,7738,7733,2,Horacio Rosatti - Carlos Fernando Rosenkrantz – Juan Carlos
346_p233,cambio_vp,,,9084,9084,0,
346_p236,lfr_cambio,unanime,unanime,9559,9558,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p247,cambio_vp,,,9612,9612,0,
346_p249,lfr_cambio,unanime,unanime,9789,9781,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p254,cambio_vp,,,9868,9868,0,
346_p256,cambio_vp,,,9915,9915,0,
346_p257,lfr_cambio,unanime,unanime,9986,9980,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p259,lfr_cambio,segun_su_voto,segun_su_voto,10192,10158,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p287,lfr_cambio,segun_su_voto,segun_su_voto,11739,11572,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p304,lfr_cambio,segun_su_voto,segun_su_voto,12132,12110,4,Horacio Rosatti (según su voto)— Carlos Fernando Rosenkrantz — Juan Carlos Maque
346_p361,lfr_cambio,unanime,unanime,14776,14771,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p382,lfr_cambio,unanime,unanime,14964,14977,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p390,cambio_vp,,,15076,15076,0,
346_p403,lfr_cambio,unanime,unanime,15709,15702,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p407,REGRESION,unanime,sin_firma,16674,15703,0,
346_p42,lfr_cambio,unanime,unanime,1722,1746,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p431,cambio_vp,,,16701,16701,0,
346_p432,lfr_cambio,unanime,unanime,16961,16962,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p439,REGRESION,unanime,sin_firma,17042,16957,0,
346_p44,lfr_cambio,unanime,unanime,1827,1717,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p461,lfr_cambio,unanime,unanime,18098,18093,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p48,cambio_vp,,,2166,2191,0,
346_p484,lfr_cambio,unanime,unanime,18946,18960,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p502,lfr_cambio,disidencia,disidencia,19928,19567,5,Horacio Rosatti (en disidencia)— Carlos Fernando Rosenkrantz — Juan Carlos Maque
346_p535,lfr_cambio,unanime,unanime,20818,20835,3,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda.
346_p537,lfr_cambio,unanime,unanime,20990,20812,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p542,cambio_vp,,,22515,21686,0,
346_p56,cambio_vp,,,2182,2182,0,
346_p57,lfr_cambio,unanime,unanime,2223,2222,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p58,lfr_cambio,segun_su_voto,segun_su_voto,2852,2830,2,Horacio Rosatti (según su voto)— Juan Carlos Maqueda — Ricardo
346_p624,cambio_vp,,,24279,24279,0,
346_p625,cambio_vp,,,24304,24304,0,
346_p626,cambio_vp,,,24329,24329,0,
346_p627,lfr_cambio,unanime,unanime,24403,24395,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p629,cambio_vp,disidencia,unanime,24595,24396,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p650,lfr_cambio,unanime,unanime,25514,25510,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p678,lfr_cambio,unanime,unanime,26480,26475,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p706,lfr_cambio,unanime,unanime,27818,27813,3,Horacio Rosatti — Juan Carlos Maqueda — Ricardo Luis Lorenzetti.
346_p74,cambio_vp,,,2896,2896,0,
346_p745,lfr_cambio,unanime,unanime,29029,29054,3,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda.
346_p75,cambio_vp,,,3255,2977,0,
346_p767,lfr_cambio,unanime,unanime,403,393,2,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos
346_p807,lfr_cambio,unanime,unanime,1750,1764,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p814,lfr_cambio,disidencia,disidencia,2128,2011,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (en disidencia)— Juan Carlos Maque
346_p821,lfr_cambio,segun_su_voto,segun_su_voto,2650,2682,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p834,lfr_cambio,segun_su_voto,segun_su_voto,3117,3147,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda (según su vo
346_p846,lfr_cambio,unanime,unanime,3265,3282,4,Horacio Rosatti — Carlos Fernando Rosenkrantz — Juan Carlos Maqueda — Ricardo Lu
346_p854,lfr_cambio,segun_su_voto,segun_su_voto,3788,3602,4,Horacio Rosatti — Carlos Fernando Rosenkrantz (según su voto)— Juan Carlos Maque
346_p864,cambio_vp,,,3840,3840,0,
