caso_id_canonico,materia,materia_capa,materia_fuente
343_p1086,contencioso_administrativo,capa2,provincia:ca
343_p1096,,pendiente_capa2,sin_ancla
343_p1109,contencioso_administrativo,capa2,objeto(1)
343_p1121,laboral,capa1,regla:\bdel trabajo\b
343_p1123,civil_comercial,capa2,objeto(1)
343_p1126,civil_comercial,capa1,regla:\ben lo civil\b
343_p1129,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p1135,laboral,capa1,regla:\bdel trabajo\b
343_p1142,civil_comercial,capa1,regla:\ben lo civil\b
343_p1146,,pendiente_capa2,sin_ancla
343_p1163,civil_comercial,capa2,objeto(1)
343_p1172,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1179,civil_comercial,capa2,objeto(1)
343_p1181,,pendiente_capa2,sin_ancla
343_p1213,,originaria,originaria
343_p1218,contencioso_administrativo,capa2,objeto(1)
343_p1233,civil_comercial,capa1,regla:\ben lo comercial\b
343_p1237,civil_comercial,capa2,objeto(1)
343_p1239,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1246,civil_comercial,capa1,regla:civil y comercial federal
343_p1247,civil_comercial,capa2,objeto(1)
343_p1254,civil_comercial,capa2,objeto(1)
343_p1259,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1277,laboral,capa1,regla:\bdel trabajo\b
343_p1281,laboral,capa1,regla:\bdel trabajo\b
343_p1307,penal,capa2,kw+objeto(2)
343_p1319,,originaria,originaria
343_p1332,ambiental,capa2,norma:25675(1)
343_p1337,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1352,civil_comercial,capa1,regla:\ben lo comercial\b
343_p1354,previsional,capa1,regla:seguridad social
343_p1362,civil_comercial,capa1,regla:\ben lo civil\b
343_p1386,contencioso_administrativo,capa2,provincia:ca
343_p1388,,pendiente_capa2,sin_ancla
343_p1389,,pendiente_capa2,sin_ancla
343_p1402,penal,capa1,regla:casacion penal
343_p1406,civil_comercial,capa1,regla:civil y comercial federal
343_p1411,laboral,capa1,regla:\bdel trabajo\b
343_p1416,laboral,capa1,regla:\bdel trabajo\b
343_p1421,penal,capa2,norma:24767+objeto(2)
343_p1434,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1444,civil_comercial,capa2,kw+norma:24522(2)
343_p1447,contencioso_administrativo,capa2,objeto(1)
343_p1457,,pendiente_capa2,sin_ancla
343_p1591,,pendiente_capa2,sin_ancla
343_p1599,tributario,capa2,parte(1)
343_p1605,,pendiente_capa2,sin_ancla
343_p1611,ambiental,capa2,kw+norma:25675(2)
343_p1613,penal,capa1,regla:casacion penal
343_p1617,previsional,capa1,regla:seguridad social
343_p1620,penal,capa1,regla:casacion penal
343_p1624,contencioso_administrativo,capa2,provincia:ca
343_p1646,tributario,capa1_refinado,refinamiento:fiscal(\bagip\b|\barba\b|)
343_p1657,,pendiente_capa2,sin_ancla
343_p1663,tributario,capa1_refinado,refinamiento:fiscal(\bafip\b|\bdgi\b|d)
343_p1673,civil_comercial,capa2,norma:24901(1)
343_p1679,penal,capa1,regla:casacion penal
343_p1684,,pendiente_capa2,conflicto_capa2:civil_comercial/laboral
343_p1688,constitucional,capa2,objeto(1)
343_p1701,,originaria,originaria
343_p1704,,originaria,originaria
343_p1718,salud,capa2,coocur:salud_amparo
343_p1724,laboral,capa1,regla:\bdel trabajo\b
343_p1732,laboral,capa1,regla:\bdel trabajo\b
343_p1738,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1750,contencioso_administrativo,capa1,regla:contencioso administrativo
343_p1752,civil_comercial,capa2,norma:24901(1)
343_p1758,laboral,capa1,regla:\bdel trabajo\b
343_p1762,laboral,capa1,regla:\bdel trabajo\b
343_p1772,,residual,Sala D de la referida Cámara
343_p1784,civil_comercial,capa1,regla:civil y comercial federal
343_p1791,previsional,capa2,parte(1)
343_p1794,laboral,capa1,regla:\bdel trabajo\b
343_p1800,civil_comercial,capa1,regla:civil y comercial federal
343_p1805,civil_comercial,capa1,regla:\ben lo civil\b
343_p1823,,pendiente_capa2,sin_ancla
343_p1827,,pendiente_capa2,sin_ancla
343_p1836,,originaria,originaria
343_p1841,laboral,capa1,regla:\bdel trabajo\b
343_p1853,civil_comercial,capa1,regla:\ben lo civil\b
343_p1854,civil_comercial,capa2,objeto(1)
343_p1859,,pendiente_capa2,sin_ancla
343_p1869,laboral,capa1,regla:\bdel trabajo\b
343_p1871,previsional,capa1,regla:seguridad social
343_p1894,civil_comercial,capa1,regla:civil y comercial federal
343_p1910,,pendiente_capa2,sin_ancla
343_p1914,civil_comercial,capa1,regla:civil y comercial federal
343_p1923,tributario,capa2,objeto+parte(2)
343_p1929,,pendiente_capa2,sin_ancla
343_p1932,penal,capa2,objeto(1)
343_p1944,,originaria,originaria
343_p1987,penal,capa2,kw(1)
343_p2006,penal,capa1,regla:casacion penal
343_p2011,laboral,capa1,regla:\bdel trabajo\b
343_p2019,laboral,capa1,regla:\bdel trabajo\b
343_p2039,,originaria,originaria
343_p2067,,originaria,originaria
343_p2080,,originaria,originaria
343_p2087,,originaria,originaria
343_p2095,,pendiente_capa2,sin_ancla
343_p2098,penal,capa1,regla:casacion penal
343_p2122,penal,capa2,objeto(1)
343_p2135,previsional,capa1,regla:seguridad social
343_p2145,laboral,capa1,regla:\bdel trabajo\b
343_p2151,laboral,capa1,regla:\bdel trabajo\b
343_p2158,civil_comercial,capa1,regla:civil y comercial federal
343_p2161,penal,capa2,norma:24767+objeto(2)
