caso_id_canonico,tipo,norma,ambito,n_menciones
329_p3201,ley,13998,considerando,1
329_p3203,ley,17040,considerando,1
329_p3203,ley,18746,considerando,1
329_p3203,ley,23570,considerando,1
329_p3203,ley,24463,considerando,1
329_p3203,ley,20606,voto,1
329_p3203,ley,24463,voto,1
329_p3207,ley,18037,considerando,2
329_p3207,ley,22955,considerando,7
329_p3207,ley,23682,considerando,5
329_p3207,ley,23966,considerando,3
329_p3207,ley,24019,considerando,2
329_p3207,ley,24463,considerando,2
329_p3211,ley,18037,considerando,2
329_p3211,ley,23928,considerando,1
329_p3211,ley,24463,considerando,1
329_p3211,ley,18037,dispositivo,1
329_p3213,ley,18037,considerando,2
329_p3213,ley,24463,considerando,3
329_p3235,ley,24946,voto,2
329_p3388,ley,24043,caratula,1
329_p3388,ley,20840,voto,4
329_p3388,ley,24043,voto,11
329_p3388,ley,24906,voto,12
329_p3388,ley,3395,voto,1
329_p3403,ley,17285,considerando,2
329_p3445,ley,25675,considerando,5
329_p3457,ley,23570,considerando,2
329_p3457,ley,24463,considerando,1
329_p3478,ley,23982,considerando,1
329_p3478,ley,25344,considerando,2
329_p3493,ley,25675,considerando,7
329_p3493,ley,25675,voto,2
329_p3522,ley,19550,considerando,1
329_p3528,ley,25675,considerando,3
329_p3528,ley,3531,considerando,1
329_p3542,ley,1285,considerando,1
329_p3542,ley,21708,considerando,1
329_p3542,ley,24522,considerando,5
329_p3546,ley,23982,voto,2
329_p3546,ley,24475,voto,1
329_p3546,ley,25344,voto,1
329_p3546,ley,3608,voto,1
329_p3546,ley,3798,voto,5
329_p3589,ley,24073,considerando,1
329_p3589,ley,24463,considerando,1
329_p3600,ley,20840,voto,1
329_p3600,ley,23098,voto,3
329_p3600,ley,23984,voto,1
329_p3600,ley,4055,voto,1
329_p3611,ley,25488,considerando,1
329_p3616,ley,16986,considerando,1
329_p3617,ley,19549,considerando,2
329_p3617,ley,20957,considerando,12
329_p3617,ley,21383,considerando,1
329_p3617,ley,22140,considerando,1
329_p3617,ley,20957,voto,11
329_p3649,ley,19945,caratula,1
329_p3649,ley,4055,voto,1
329_p3666,ley,16463,caratula,1
329_p3666,ley,16463,considerando,2
329_p3680,ley,20942,considerando,1
329_p3680,ley,23057,considerando,2
329_p3680,ley,23737,considerando,1
329_p3680,ley,3335,considerando,1
329_p3800,ley,23521,voto,2
329_p3800,ley,24952,voto,2
329_p3848,ley,18037,considerando,1
329_p3848,ley,22955,considerando,8
329_p3848,ley,24463,considerando,1
329_p3851,ley,24463,considerando,1
329_p3851,ley,26025,considerando,1
329_p3851,ley,1285,voto,2
329_p3851,ley,14467,voto,1
