voto_id,caso_id_canonico,tomo,date,juez,source_file,linea_inicio,linea_fin_real,primera_del_caso,doble_cod,cod_juez_ok,cod_posicion,cod_tipo_voto_sep,cod_fragmenta_ratio,cod_punto_divergencia,cod_completitud_caso,notas
329_p1908::1,329_p1908,329,23 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,20478,20542,0,0,,,,,,,
329_p1908::2,329_p1908,329,23 de mayo de 2006,Fayt,LibroVol329.2.md,20478,20542,0,0,,,,,,,
329_p1908::3,329_p1908,329,23 de mayo de 2006,Maqueda,LibroVol329.2.md,20478,20542,0,0,,,,,,,
329_p1908::4,329_p1908,329,23 de mayo de 2006,Zaffaroni,LibroVol329.2.md,20478,20542,0,0,,,,,,,
329_p1917::0,329_p1917,329,23 de mayo de 2006,Petracchi,LibroVol329.2.md,20803,20935,1,0,,,,,,,
329_p1917::1,329_p1917,329,23 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,20803,20935,0,0,,,,,,,
329_p1917::2,329_p1917,329,23 de mayo de 2006,Maqueda,LibroVol329.2.md,20803,20935,0,0,,,,,,,
329_p1917::3,329_p1917,329,23 de mayo de 2006,Zaffaroni,LibroVol329.2.md,20803,20935,0,0,,,,,,,
329_p1917::4,329_p1917,329,23 de mayo de 2006,Lorenzetti,LibroVol329.2.md,20803,20935,0,0,,,,,,,
329_p1917::5,329_p1917,329,23 de mayo de 2006,Argibay,LibroVol329.2.md,20803,20935,0,0,,,,,,,
329_p1933::0,329_p1933,329,30 de mayo de 2006,Petracchi,LibroVol329.2.md,21384,21472,1,0,,,,,,,
329_p1933::1,329_p1933,329,30 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,21384,21472,0,0,,,,,,,
329_p1933::2,329_p1933,329,30 de mayo de 2006,Fayt,LibroVol329.2.md,21384,21472,0,0,,,,,,,
329_p1933::3,329_p1933,329,30 de mayo de 2006,Maqueda,LibroVol329.2.md,21384,21472,0,0,,,,,,,
329_p1933::4,329_p1933,329,30 de mayo de 2006,Lorenzetti,LibroVol329.2.md,21384,21472,0,0,,,,,,,
329_p1936::0,329_p1936,329,30 de mayo de 2006,Petracchi,LibroVol329.2.md,21473,21571,1,0,,,,,,,
329_p1936::1,329_p1936,329,30 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,21473,21571,0,0,,,,,,,
329_p1936::2,329_p1936,329,30 de mayo de 2006,Maqueda,LibroVol329.2.md,21473,21571,0,0,,,,,,,
329_p1936::3,329_p1936,329,30 de mayo de 2006,Zaffaroni,LibroVol329.2.md,21473,21571,0,0,,,,,,,
329_p1936::4,329_p1936,329,30 de mayo de 2006,Lorenzetti,LibroVol329.2.md,21473,21571,0,0,,,,,,,
329_p1936::5,329_p1936,329,30 de mayo de 2006,Argibay,LibroVol329.2.md,21473,21571,0,0,,,,,,,
329_p1963::0,329_p1963,329,30 de mayo de 2006,Petracchi,LibroVol329.2.md,22552,22752,1,0,,,,,,,
329_p1963::1,329_p1963,329,30 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,22552,22752,0,0,,,,,,,
329_p1963::2,329_p1963,329,30 de mayo de 2006,Maqueda,LibroVol329.2.md,22552,22752,0,0,,,,,,,
329_p1963::3,329_p1963,329,30 de mayo de 2006,Zaffaroni,LibroVol329.2.md,22552,22752,0,0,,,,,,,
329_p1963::4,329_p1963,329,30 de mayo de 2006,Lorenzetti,LibroVol329.2.md,22552,22752,0,0,,,,,,,
329_p1963::5,329_p1963,329,30 de mayo de 2006,Argibay,LibroVol329.2.md,22552,22752,0,0,,,,,,,
329_p1972::0,329_p1972,329,30 de mayo de 2006,Petracchi,LibroVol329.2.md,22879,22943,1,0,,,,,,,
329_p1972::1,329_p1972,329,30 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,22879,22943,0,0,,,,,,,
329_p1972::2,329_p1972,329,30 de mayo de 2006,Maqueda,LibroVol329.2.md,22879,22943,0,0,,,,,,,
329_p1972::3,329_p1972,329,30 de mayo de 2006,Zaffaroni,LibroVol329.2.md,22879,22943,0,0,,,,,,,
329_p1972::4,329_p1972,329,30 de mayo de 2006,Lorenzetti,LibroVol329.2.md,22879,22943,0,0,,,,,,,
329_p1972::5,329_p1972,329,30 de mayo de 2006,Argibay,LibroVol329.2.md,22879,22943,0,0,,,,,,,
329_p1974::0,329_p1974,329,30 de mayo de 2006,Petracchi,LibroVol329.2.md,22944,23329,1,0,,,,,,,
329_p1974::1,329_p1974,329,30 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,22944,23329,0,0,,,,,,,
329_p1974::2,329_p1974,329,30 de mayo de 2006,Maqueda,LibroVol329.2.md,22944,23329,0,0,,,,,,,
329_p1974::3,329_p1974,329,30 de mayo de 2006,Zaffaroni,LibroVol329.2.md,22944,23329,0,0,,,,,,,
329_p1974::4,329_p1974,329,30 de mayo de 2006,Lorenzetti,LibroVol329.2.md,22944,23329,0,0,,,,,,,
329_p1974::5,329_p1974,329,30 de mayo de 2006,Argibay,LibroVol329.2.md,22944,23329,0,0,,,,,,,
329_p2111::0,329_p2111,329,30 de mayo de 2006,Petracchi,LibroVol329.2.md,28130,28288,1,0,,,,,,,
329_p2111::1,329_p2111,329,30 de mayo de 2006,Highton de Nolasco,LibroVol329.2.md,28130,28288,0,0,,,,,,,
329_p2111::2,329_p2111,329,30 de mayo de 2006,Fayt,LibroVol329.2.md,28130,28288,0,0,,,,,,,
329_p2111::3,329_p2111,329,30 de mayo de 2006,Maqueda,LibroVol329.2.md,28130,28288,0,0,,,,,,,
329_p2111::4,329_p2111,329,30 de mayo de 2006,Zaffaroni,LibroVol329.2.md,28130,28288,0,0,,,,,,,
329_p2206::0,329_p2206,329,13 de junio de 2006,Petracchi,LibroVol329.2.md,31524,31752,1,0,,,,,,,
329_p2206::1,329_p2206,329,13 de junio de 2006,Highton de Nolasco,LibroVol329.2.md,31524,31752,0,0,,,,,,,
329_p2206::2,329_p2206,329,13 de junio de 2006,Maqueda,LibroVol329.2.md,31524,31752,0,0,,,,,,,
329_p2206::3,329_p2206,329,13 de junio de 2006,Lorenzetti,LibroVol329.2.md,31524,31752,0,0,,,,,,,
329_p2206::4,329_p2206,329,13 de junio de 2006,Argibay,LibroVol329.2.md,31524,31752,0,0,,,,,,,
329_p2217::0,329_p2217,329,13 de junio de 2006,Petracchi,LibroVol329.2.md,31942,31984,1,0,,,,,,,
329_p2217::1,329_p2217,329,13 de junio de 2006,Highton de Nolasco,LibroVol329.2.md,31942,31984,0,0,,,,,,,
329_p2217::2,329_p2217,329,13 de junio de 2006,Fayt,LibroVol329.2.md,31942,31984,0,0,,,,,,,
329_p2217::3,329_p2217,329,13 de junio de 2006,Maqueda,LibroVol329.2.md,31942,31984,0,0,,,,,,,
